Cod_comp;Fecha;Demanda;Fotovoltaica
2022-07-19h17;2022-07-19;254.377;245.558
2022-07-19h18;2022-07-19;224.136;171.25
2022-07-19h19;2022-07-19;196.085;76.901
2022-07-19h20;2022-07-19;153.889;3.72212
2022-07-19h21;2022-07-19;125.642;0
2022-07-19h22;2022-07-19;109.839;0
2022-07-19h23;2022-07-19;86.189;0
2022-07-19h24;2022-07-19;84.028;0
2022-07-20h01;2022-07-20;82.65;0
2022-07-20h02;2022-07-20;81.325;0
2022-07-20h03;2022-07-20;79.66;0
2022-07-20h04;2022-07-20;79.487;0
2022-07-20h05;2022-07-20;77.903;0
2022-07-20h06;2022-07-20;85.107;0
2022-07-20h07;2022-07-20;117.561;8.32865
2022-07-20h08;2022-07-20;230.485;35.9936
2022-07-20h09;2022-07-20;338.739;128.85
2022-07-20h10;2022-07-20;427.711;221.629
2022-07-20h11;2022-07-20;466.167;283.931
2022-07-20h12;2022-07-20;476.223;333.906
2022-07-20h13;2022-07-20;479.594;362.959
2022-07-20h14;2022-07-20;478.037;371.268
2022-07-20h15;2022-07-20;451.878;355.119
2022-07-20h16;2022-07-20;385.159;316.361
2022-07-20h17;2022-07-20;274.385;253.142
2022-07-20h18;2022-07-20;228.77;174.752
2022-07-20h19;2022-07-20;192.605;78.2814
2022-07-20h20;2022-07-20;144.244;3.27853
2022-07-20h21;2022-07-20;110.531;0
2022-07-20h22;2022-07-20;98.873;0
2022-07-20h23;2022-07-20;92.003;0
2022-07-20h24;2022-07-20;92.754;0
2022-07-21h01;2022-07-21;86.37;0
2022-07-21h02;2022-07-21;84.584;0
2022-07-21h03;2022-07-21;82.28;0
2022-07-21h04;2022-07-21;82.044;0
2022-07-21h05;2022-07-21;82.011;0
2022-07-21h06;2022-07-21;89.735;0
2022-07-21h07;2022-07-21;126.781;8.37905
2022-07-21h08;2022-07-21;227.279;36.4728
2022-07-21h09;2022-07-21;353.437;122.974
2022-07-21h10;2022-07-21;438.084;206.755
2022-07-21h11;2022-07-21;450.162;264.948
2022-07-21h12;2022-07-21;466.054;309.092
2022-07-21h13;2022-07-21;481.191;326.469
2022-07-21h14;2022-07-21;457.585;330.254
2022-07-21h15;2022-07-21;410.718;310.32
2022-07-21h16;2022-07-21;320.249;273.089
2022-07-21h17;2022-07-21;235.121;216.652
2022-07-21h18;2022-07-21;179.511;138.106
2022-07-21h19;2022-07-21;156.125;38.348
2022-07-21h20;2022-07-21;130.48;4.95757
2022-07-21h21;2022-07-21;127.774;0
2022-07-21h22;2022-07-21;98.017;0
2022-07-21h23;2022-07-21;85.387;0
2022-07-21h24;2022-07-21;85.869;0
2022-08-03h01;2022-08-03;124.848;0
2022-08-03h02;2022-08-03;121.653;0
2022-08-03h03;2022-08-03;120.125;0
2022-08-03h04;2022-08-03;118.411;0
2022-08-03h05;2022-08-03;117.567;0
2022-08-03h06;2022-08-03;123.711;0
2022-08-03h07;2022-08-03;145.914;8.48155
2022-08-03h08;2022-08-03;377.48;34.8229
2022-08-03h09;2022-08-03;456.187;121.855
2022-08-03h10;2022-08-03;489.455;210.797
