Cod_comp;Fecha;Demanda;Fotovoltaica
2022-08-26h21;2022-08-26;114.903;0
2022-08-26h22;2022-08-26;109.653;0
2022-08-26h23;2022-08-26;102.898;0
2022-08-26h24;2022-08-26;101.996;0
2022-09-05h01;2022-09-05;91.013;0
2022-09-05h02;2022-09-05;91.034;0
2022-09-05h03;2022-09-05;77.511;0
2022-09-05h04;2022-09-05;77.793;0
2022-09-05h05;2022-09-05;76.436;0
2022-09-05h06;2022-09-05;85.866;0
2022-09-05h07;2022-09-05;102.721;3.18838
2022-09-05h08;2022-09-05;174.25;21.4269
2022-09-05h09;2022-09-05;243.127;112.524
2022-09-05h10;2022-09-05;296.807;208.847
2022-09-05h11;2022-09-05;333.657;272.604
2022-09-05h12;2022-09-05;363.225;329.489
2022-09-05h13;2022-09-05;389.916;354.115
2022-09-05h14;2022-09-05;403.556;352.435
2022-09-05h15;2022-09-05;369.69;329.462
2022-09-05h16;2022-09-05;288.367;288.308
2022-09-05h17;2022-09-05;245.992;218.351
2022-09-05h18;2022-09-05;221.807;127.905
2022-09-05h19;2022-09-05;180.817;19.8111
2022-09-05h20;2022-09-05;146.595;0
2022-09-05h21;2022-09-05;118.119;0
2022-09-05h22;2022-09-05;101.901;0
2022-09-05h23;2022-09-05;100.411;0
2022-09-05h24;2022-09-05;99.195;0
2022-09-06h01;2022-09-06;96.424;0
2022-09-06h02;2022-09-06;95.048;0
2022-09-06h03;2022-09-06;96.151;0
2022-09-06h04;2022-09-06;93.67;0
2022-09-06h05;2022-09-06;93.958;0
2022-09-06h06;2022-09-06;101.764;0
2022-09-06h07;2022-09-06;132.181;3.14065
2022-09-06h08;2022-09-06;229.14;21.1365
2022-09-06h09;2022-09-06;291.417;113.462
2022-09-06h10;2022-09-06;360.882;205.086
2022-09-06h11;2022-09-06;411.905;271.049
2022-09-06h12;2022-09-06;445.734;320.284
2022-09-06h13;2022-09-06;480.129;342.315
2022-09-06h14;2022-09-06;491.695;345.755
2022-09-06h15;2022-09-06;445.33;323.882
2022-09-06h16;2022-09-06;364.002;289.952
2022-09-06h17;2022-09-06;316.166;221.511
2022-09-06h18;2022-09-06;287.324;122.88
2022-09-06h19;2022-09-06;240.203;12.3914
2022-09-06h20;2022-09-06;162.884;0
2022-09-06h21;2022-09-06;125.642;0
2022-09-06h22;2022-09-06;109.13;0
2022-09-06h23;2022-09-06;102.19;0
2022-09-06h24;2022-09-06;103.63;0
2022-09-07h01;2022-09-07;99.917;0
2022-09-07h02;2022-09-07;97.441;0
2022-09-07h03;2022-09-07;97.693;0
2022-09-07h04;2022-09-07;97.137;0
2022-09-07h05;2022-09-07;94.93;0
2022-09-07h06;2022-09-07;101.367;0
2022-09-07h07;2022-09-07;129.284;3.01903
2022-09-07h08;2022-09-07;225.981;19.7454
2022-09-07h09;2022-09-07;298.41;128.3
2022-09-07h10;2022-09-07;347.046;201.782
2022-09-07h11;2022-09-07;385.782;284.085
2022-09-07h12;2022-09-07;445.009;292.972
