;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;0.027;14.900;76.597;88.027;111.749;96.770;186.783;166.211;170.690;81.313;39.977;4.477;0.000;0.000;0.000;0.000;0.000;0.000
Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.237;12.209;22.612;42.685;91.294;46.737;27.685;17.189;1.596;0.000;0.000;0.000;0.000;0.000;0.000;0.000
Cluster 2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.519;57.805;73.818;180.649;257.227;307.242;295.846;283.027;215.517;116.869;21.226;0.665;0.000;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.44;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.24;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.32;;;;;;;;;;;;;;;;;;;;;;;
