;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
 Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;27.232;128.108;228.800;291.282;309.331;330.804;309.309;241.712;154.931;28.600;0.000;0.000;0.000;0.000;0.000;0.000
Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;33.681;154.124;248.854;267.525;328.635;362.255;344.864;297.285;211.916;72.262;0.000;0.000;0.000;0.000;0.000;0.000
Cluster 2;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;20.479;121.921;216.280;256.475;198.610;189.908;216.097;211.259;123.167;21.275;0.603;0.000;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.467;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.333;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.200;;;;;;;;;;;;;;;;;;;;;;;
