;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Cluster 0;94.222;93.891;89.263;94.187;93.981;97.468;114.942;197.761;255.344;300.628;324.138;348.495;373.299;352.534;346.964;326.725;340.019;313.851;249.543;183.034;144.189;110.525;100.786;97.212
Cluster 1;94.237;96.191;93.632;91.608;94.463;100.608;107.610;166.826;207.094;219.965;231.998;233.886;233.278;217.775;192.303;155.293;128.953;116.146;116.122;112.660;108.042;103.867;98.227;94.316
Cluster 2;90.007;90.423;90.902;89.633;88.534;97.972;109.121;185.602;240.852;270.053;288.422;280.007;277.614;257.666;227.441;208.614;176.399;175.390;164.784;139.635;117.853;104.228;94.209;93.007
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.500;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.167;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.333;;;;;;;;;;;;;;;;;;;;;;;
