;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Cluster 0;71.324;76.254;77.570;77.536;77.240;78.189;102.618;248.152;366.130;413.092;399.011;356.089;315.975;282.077;246.150;213.818;205.504;164.196;132.291;110.830;91.440;81.628;78.649;79.635
 Cluster 1;79.075;79.627;78.312;76.586;78.914;86.829;111.313;269.265;403.639;465.620;470.658;429.641;392.546;354.479;291.566;250.033;204.689;196.755;174.468;163.329;122.689;89.898;81.992;78.999
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.733;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.267;;;;;;;;;;;;;;;;;;;;;;;
