;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;8.245;41.366;128.753;217.957;284.963;318.659;344.253;359.775;323.661;305.939;251.651;171.907;71.619;3.688;0.000;0.000;0.000;0.000
Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;5.216;30.212;118.119;203.357;270.829;317.409;337.443;350.190;333.016;289.056;219.732;135.558;30.105;0.434;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.464;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.536;;;;;;;;;;;;;;;;;;;;;;;
