;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Cluster 0;101.119;95.319;93.995;93.847;91.912;105.128;126.993;235.242;318.358;355.023;410.153;451.344;474.873;485.515;452.317;383.247;305.490;281.073;228.227;175.107;148.656;120.644;105.927;98.873
Cluster 1;107.184;102.427;101.781;101.231;101.194;109.509;139.535;308.855;426.769;485.006;517.384;527.158;526.330;548.503;500.203;370.560;268.325;221.039;175.462;132.566;120.311;112.482;103.535;105.769
Cluster 2;99.595;94.909;94.608;82.721;94.200;101.661;112.814;220.782;256.062;307.488;331.159;364.460;366.056;410.282;352.269;242.084;165.378;147.926;150.161;125.958;124.471;115.298;105.487;100.099
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.536;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.250;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.214;;;;;;;;;;;;;;;;;;;;;;;
