;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Cluster 0;0.000;0.000;0.000;0.000;0.000;0.000;11.069;57.795;138.725;236.302;296.515;310.827;338.552;331.116;344.080;329.091;199.395;148.083;32.121;0.000;0.000;0.000;0.000;0.000
Cluster 1;0.000;0.000;0.000;0.000;0.000;0.000;11.992;58.130;150.148;182.317;284.024;324.664;370.145;369.081;208.051;329.940;223.349;86.697;25.610;0.000;0.000;0.000;0.000;0.000
Cluster 2;0.000;0.000;0.000;0.000;0.000;0.000;10.703;53.639;144.086;235.188;306.913;350.171;374.180;378.572;358.580;317.278;252.416;177.533;59.197;2.232;0.000;0.000;0.000;0.000
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.166666667;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.166666667;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 2;0.666666667;;;;;;;;;;;;;;;;;;;;;;;
