;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
 Cluster 0;96.565;94.296;94.261;94.220;91.871;99.639;121.534;191.702;266.707;310.395;316.108;320.322;317.611;303.827;296.607;278.142;284.641;268.515;210.910;155.200;121.672;105.504;100.172;95.627
Cluster 1;82.712;87.343;86.285;85.858;86.227;91.954;103.892;173.468;249.587;294.603;298.738;309.816;289.510;273.499;251.744;227.942;212.523;201.978;176.083;140.387;110.638;94.510;88.854;87.115
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 0;0.2;;;;;;;;;;;;;;;;;;;;;;;
Probality_cluster 1;0.8;;;;;;;;;;;;;;;;;;;;;;;
